,location,total_sqft,bath,bhk_size,price
0,Electronic City Phase II,1056.0,2.0,2,39.07
1,Chikka Tirupathi,2600.0,5.0,4,120.0
2,Uttarahalli,1440.0,2.0,3,62.0
3,Lingadheeranahalli,1521.0,3.0,3,95.0
4,Kothanur,1200.0,2.0,2,51.0
5,Whitefield,1170.0,2.0,2,38.0
6,Old Airport Road,2732.0,4.0,4,204.0
8,Marathahalli,1310.0,3.0,3,63.25
10,Whitefield,1800.0,2.0,3,70.0
11,Whitefield,2785.0,5.0,4,295.0
12,7th Phase JP Nagar,1000.0,2.0,2,38.0
13,Gottigere,1100.0,2.0,2,40.0
14,Sarjapur,2250.0,3.0,3,148.0
15,Mysore Road,1175.0,2.0,2,73.5
16,Bisuvanahalli,1180.0,3.0,3,48.0
17,Raja Rajeshwari Nagar,1540.0,3.0,3,60.0
18,Other,2770.0,4.0,3,290.0
19,Other,1100.0,2.0,2,48.0
20,Kengeri,600.0,1.0,1,15.0
21,Binny Pete,1755.0,3.0,3,122.0
22,Thanisandra,2800.0,5.0,4,380.0
23,Bellandur,1767.0,3.0,3,103.0
24,Other,510.0,1.0,1,25.25
25,Other,1250.0,3.0,3,56.0
26,Electronic City,660.0,1.0,2,23.1
27,Whitefield,1610.0,3.0,3,81.0
28,Ramagondanahalli,1151.0,2.0,2,48.77
29,Electronic City,1025.0,2.0,3,47.0
30,Yelahanka,2475.0,4.0,4,186.0
31,Bisuvanahalli,1075.0,2.0,3,35.0
32,Hebbal,1760.0,2.0,3,123.0
33,Raja Rajeshwari Nagar,1693.0,3.0,3,57.39
34,Kasturi Nagar,1925.0,3.0,3,125.0
35,Kanakpura Road,700.0,2.0,2,36.0
36,Electronics City Phase 1,1070.0,2.0,2,45.5
37,Kundalahalli,1724.0,3.0,3,125.0
38,Chikkalasandra,1290.0,2.0,3,56.12
39,Uttarahalli,1143.0,2.0,2,45.0
40,Murugeshpalya,1296.0,2.0,2,81.0
41,Sarjapur  Road,1254.0,3.0,3,38.0
42,Other,600.0,1.0,1,38.0
43,Yelahanka,660.0,1.0,1,48.0
44,Kanakpura Road,1330.74,2.0,2,91.79
46,Doddathoguru,970.0,2.0,2,33.0
47,Whitefield,1459.0,2.0,2,94.82
48,KR Puram,800.0,1.0,2,130.0
49,Other,869.0,2.0,2,36.0
50,Other,1270.0,2.0,2,50.0
51,Bhoganhalli,1670.0,3.0,3,99.0
52,Whitefield,2010.0,3.0,3,91.0
53,Lakshminarayana Pura,1185.0,2.0,2,75.0
54,Yelahanka,1600.0,2.0,3,75.0
55,Begur Road,1200.0,2.0,2,44.0
56,Devanahalli,3210.0,3.0,4,192.0
57,Other,1500.0,2.0,2,185.0
59,Other,840.0,2.0,2,45.0
61,Other,845.0,2.0,2,55.0
63,Varthur,1160.0,2.0,2,44.0
65,Doddathoguru,1100.0,2.0,2,62.0
66,Gunjur,1140.0,2.0,2,43.0
67,Marathahalli,1220.0,2.0,2,57.0
69,Kanakpura Road,1005.0,2.0,2,36.68
70,Other,500.0,3.0,3,100.0
71,Begur Road,1358.0,2.0,2,80.58
72,Hegde Nagar,1569.0,3.0,3,101.0
73,Haralur Road,1240.0,2.0,2,70.0
74,Hennur Road,2089.0,3.0,3,140.0
75,Kothannur,1206.0,2.0,2,48.23
76,Kalena Agrahara,1150.0,2.0,2,40.0
77,Other,2511.0,3.0,3,205.0
78,Kaval Byrasandra,460.0,1.0,2,22.0
80,Other,1660.0,2.0,3,105.0
81,Hennur Road,3203.5,3.0,4,224.5
82,Yelahanka,1326.0,2.0,2,78.0
83,Garudachar Palya,1325.0,2.0,3,60.8
84,EPIP Zone,1499.0,5.0,3,102.0
86,Kanakpura Road,1665.0,3.0,3,88.0
87,Dasanapura,708.0,2.0,2,37.0
88,Kasavanhalli,1060.0,2.0,2,58.06
90,Sanjay nagar,1000.0,2.0,2,70.0
91,Electronic City,1000.0,2.0,2,28.88
92,Other,1450.0,2.0,3,70.0
93,ISRO Layout,1200.0,4.0,4,155.0
94,Thanisandra,1296.0,2.0,2,80.0
95,Domlur,1540.0,3.0,3,90.0
96,Kengeri,2894.0,4.0,4,245.0
97,Sarjapura - Attibele Road,1330.0,2.0,3,48.0
98,Other,1200.0,2.0,2,65.0
99,Other,1200.0,3.0,3,90.0
100,Yeshwanthpur,2502.0,3.0,3,138.0
101,Chandapura,650.0,1.0,2,17.0
102,Kothanur,2400.0,2.0,3,150.0
103,Other,1007.0,2.0,2,43.0
104,Other,1200.0,2.0,2,50.0
105,Other,966.0,2.0,2,49.9
106,Nagarbhavi,1630.0,2.0,3,98.0
107,Rajaji Nagar,1640.0,3.0,3,229.0
108,Other,782.0,2.0,2,55.68
109,Devanahalli,1260.0,2.0,2,66.78
110,Other,1800.0,3.0,3,120.0
111,Other,1413.0,2.0,3,75.0
112,Whitefield,1116.0,2.0,2,51.91
113,Electronic City,1530.0,2.0,3,45.9
114,Ramamurthy Nagar,3700.0,4.0,4,225.0
115,Sarjapur  Road,2497.0,3.0,3,140.0
116,Kengeri,1540.0,2.0,3,64.0
117,Thanisandra,1436.0,3.0,3,74.75
118,Malleshwaram,1100.0,2.0,2,75.0
119,Hennur Road,276.0,3.0,2,23.0
120,Thanisandra,1427.0,3.0,3,120.0
121,Akshaya Nagar,2061.0,3.0,3,200.0
123,Shampura,2650.0,4.0,4,150.0
124,Devanahalli,1282.0,2.0,3,68.52
125,Kadugodi,1050.0,2.0,2,34.0
126,LB Shastri Nagar,1600.0,3.0,3,65.0
127,Other,945.0,2.0,2,54.0
128,Hormavu,1500.0,2.0,2,78.0
130,Other,1870.0,3.0,3,110.0
131,Sarjapur,1600.0,3.0,3,75.0
132,Electronic City,880.0,1.0,2,16.5
133,Other,1200.0,4.0,4,210.0
134,Kudlu Gate,1535.0,3.0,3,83.0
135,Kanakpura Road,950.0,2.0,2,57.0
136,Devanahalli,1360.0,2.0,2,65.0
137,8th Phase JP Nagar,1073.5,2.0,2,54.005
138,Bommasandra Industrial Area,1280.0,3.0,3,50.4
139,Other,1260.0,2.0,3,85.05
141,Yelahanka,3050.0,5.0,5,213.0
142,Kasavanhalli,1563.05,3.0,3,105.0
143,ISRO Layout,1000.0,2.0,2,60.0
144,Anandapura,1167.0,2.0,2,43.76
146,Kothanur,1828.0,3.0,3,110.0
147,Kengeri Satellite Town,890.0,2.0,2,35.0
148,Other,1612.0,3.0,3,46.74
150,Mysore Road,1710.0,4.0,3,91.31
151,Kannamangala,957.0,2.0,2,58.0
152, Devarachikkanahalli,1250.0,2.0,3,44.0
153,Other,2795.0,4.0,3,235.0
154,Hulimavu,1125.0,2.0,2,50.0
155,Electronic City Phase II,1020.0,2.0,2,30.6
156,Kalena Agrahara,1200.0,2.0,2,50.0
157,Thanisandra,1735.0,3.0,3,135.0
158,Thanisandra,2050.0,3.0,3,145.0
160,Other,1350.0,2.0,3,48.0
161,Hosa Road,1063.0,2.0,2,32.0
162,Other,1904.0,3.0,3,150.0
164,Other,2000.0,3.0,3,175.0
165,Sarjapur,1242.5,2.0,2,43.49
166,Other,1425.0,2.0,3,75.0
167,Electronic City,1500.0,2.0,3,64.5
168,Electronic City,1060.0,2.0,2,60.0
169,Other,1470.0,2.0,3,70.0
171,Attibele,450.0,1.0,1,11.0
172,Electronic City,1152.0,2.0,2,64.5
173,Electronic City,1350.0,2.0,3,56.0
174,CV Raman Nagar,1550.0,3.0,3,65.0
175,Other,1500.0,3.0,3,100.0
176,Kumaraswami Layout,600.0,3.0,5,85.0
177,Nagavara,400.0,1.0,1,14.0
178,Malleshwaram,705.0,1.0,1,67.0
179,Electronic City,770.0,1.0,2,36.0
180,Hulimavu,1242.0,2.0,2,51.0
181,Hebbal Kempapura,1700.0,3.0,3,155.0
182,Thanisandra,2144.0,3.0,3,145.0
183,Vijayanagar,1704.0,3.0,3,110.0
184,Electronic City,1070.0,2.0,2,52.0
185,Other,1846.0,3.0,3,300.0
186,Other,1340.0,2.0,2,55.7
187,Electronic City,1025.0,2.0,2,46.0
188,KR Puram,1277.5,2.0,2,56.8
189,Marathahalli,1200.0,2.0,2,52.0
190,Kanakpura Road,2250.0,4.0,4,110.0
191,Pattandur Agrahara,1550.0,2.0,3,80.0
192,Bellandur,1200.0,5.0,4,325.0
194,Marathahalli,1200.0,2.0,2,60.0
195,Yelahanka,1327.0,2.0,2,98.0
196,Kothanur,1186.0,2.0,2,58.0
197,Other,1783.0,3.0,3,115.0
198,HSR Layout,1400.0,3.0,3,56.0
199,Nagasandra,980.0,2.0,2,48.0
200,EPIP Zone,1285.0,2.0,2,82.0
201,Other,912.0,2.0,3,70.0
202,Whitefield,1225.0,2.0,2,47.6
203,Whitefield,1075.0,2.0,2,53.0
204,Kadugodi,1260.0,2.0,3,54.0
205,Yelahanka,1282.0,2.0,3,48.7
206,Kogilu,1909.0,3.0,3,88.0
207,Panathur,1359.0,2.0,2,87.0
208,Other,1207.0,2.0,2,43.5
211,Kammasandra,1595.0,3.0,3,65.0
212,Other,1798.0,3.0,3,89.0
213,Electronics City Phase 1,1475.0,3.0,3,78.29
214,Other,1580.0,3.0,3,100.0
215,Dasarahalli,1295.0,2.0,2,65.0
217,Electronic City,589.0,1.0,1,27.0
218,Other,1415.0,3.0,3,78.0
219,Sarjapur  Road,1787.0,3.0,3,98.29
220,Sarjapur  Road,1787.0,3.0,3,125.0
221,Koramangala,1475.0,2.0,3,90.0
222,Other,2000.0,4.0,4,75.5
223,Sarjapur  Road,984.0,2.0,2,44.28
224,Devanahalli,1630.0,3.0,3,74.82
225,Other,2405.0,4.0,3,260.0
226,7th Phase JP Nagar,1080.0,2.0,2,72.0
227,Other,1500.0,2.0,2,115.0
228,Hebbal,1900.0,3.0,3,119.0
229,Dommasandra,805.0,2.0,2,22.14
230,Budigere,1153.0,2.0,2,56.4
231,Other,1148.0,2.0,2,60.0
232,Other,1110.0,2.0,2,55.0
233,Electronic City,1100.0,2.0,2,42.0
234,Kalyan nagar,1290.0,2.0,2,110.0
235,Other,1500.0,2.0,3,65.0
236,Other,1080.0,2.0,2,39.0
237,Vijayanagar,1933.0,3.0,3,129.0
238,Ramamurthy Nagar,3500.0,5.0,5,150.0
239,Other,1060.0,2.0,2,60.0
240,Chandapura,645.0,1.0,1,16.45
242,Chandapura,645.0,1.0,1,16.45
243,Other,1644.0,3.0,3,84.0
244,Other,1285.0,2.0,2,72.5
245,Electronic City,1200.0,3.0,3,90.0
246,Electronic City,910.0,2.0,2,40.0
247,Kothanur,1577.0,3.0,3,70.0
249,OMBR Layout,2420.0,3.0,3,185.0
250,Chandapura,800.0,1.0,2,20.0
251,Other,1060.0,2.0,2,55.0
252,7th Phase JP Nagar,1270.0,2.0,2,93.0
253,Other,900.0,2.0,2,22.5
254,Other,1280.0,2.0,2,69.0
255,Horamavu Agara,1200.0,2.0,4,95.0
256,Sarjapur  Road,1025.0,2.0,2,36.0
257,Electronic City,1108.0,2.0,2,63.0
258,Other,1200.0,5.0,5,170.0
259,Other,3045.0,3.0,3,170.0
260,Ambedkar Nagar,2900.0,3.0,4,300.0
261,Vijayanagar,1500.0,3.0,3,75.5
262,Raja Rajeshwari Nagar,1295.0,2.0,2,43.9
263,Budigere,1162.0,2.0,2,59.9
264,Sarjapur  Road,1035.0,2.0,2,49.2
265,Attibele,1600.0,4.0,4,52.8
266,Other,1464.0,3.0,3,46.0
267,Hennur Road,1866.0,2.0,3,61.58
268,Other,700.0,1.0,2,26.0
269,Kalena Agrahara,1804.0,3.0,3,120.0
270,Sarjapur,913.0,2.0,2,32.0
271,Talaghattapura,1868.0,3.0,3,131.0
272,Kengeri Satellite Town,883.0,2.0,2,45.0
273,Other,900.0,2.0,2,110.0
274,Kogilu,1664.0,2.0,3,73.95
275,Hegde Nagar,2026.0,3.0,3,132.0
276,Balagere,1210.0,2.0,2,80.9
278,Kadugodi,1762.0,3.0,3,91.45
279,Jigani,1252.0,3.0,3,55.0
280,Gollarapalya Hosahalli,861.0,2.0,2,34.5
281,7th Phase JP Nagar,1420.0,2.0,3,100.0
283,Electronics City Phase 1,1490.0,3.0,3,78.8
284,Bisuvanahalli,1075.0,2.0,3,46.0
285,Old Madras Road,1425.0,2.0,3,94.0
286,Kalena Agrahara,1200.0,2.0,2,40.0
287,Kaggadasapura,1280.0,2.0,3,56.0
288,Other,1084.0,2.0,2,50.0
289,Chandapura,1015.0,2.0,2,25.88
290,Kanakpura Road,1017.0,2.0,2,51.25
291,Haralur Road,1027.0,2.0,2,44.0
292,Electronic City Phase II,1069.0,2.0,2,45.0
293,Hebbal,1349.0,2.0,2,98.2
294,9th Phase JP Nagar,1005.0,2.0,2,50.0
295,Jakkur,1417.0,2.0,2,75.0
296,TC Palaya,1475.0,3.0,3,98.0
297,Other,950.0,2.0,2,47.0
298,Other,2000.0,4.0,4,120.0
299,Giri Nagar,880.0,3.0,3,140.0
300,Sarjapur  Road,1863.0,3.0,4,104.0
301,Singasandra,1010.0,2.0,2,29.5
302,Kalena Agrahara,1425.0,2.0,3,70.0
303,Vijayanagar,1450.0,3.0,3,100.0
304,Kothanur,1847.0,3.0,3,105.0
305,AECS Layout,1100.0,2.0,2,45.0
306,Kanakpura Road,525.0,1.0,1,26.0
307,Mallasandra,1665.0,3.0,3,95.0
308,Begur,1664.0,4.0,4,65.0
309,JP Nagar,1850.0,3.0,3,150.0
310,Panathur,1438.0,2.0,2,100.0
311,Other,1560.0,3.0,3,115.0
312,Yelahanka,1350.0,2.0,2,55.55
313,Kanakpura Road,1550.0,3.0,3,67.0
